time,NP,sun_altitude,sun_azimuth,irradiance_real,irradiance_fc,pv_size
2021-01-01 00:00:00+00:00,0.7591392934415939,0.0,0.004186195570433638,0.0,0.0,0.6
2021-01-01 00:15:00+00:00,0.7725119311815757,0.0018741753576403913,0.02663168980159213,0.0,0.0,0.6
2021-01-01 00:30:00+00:00,0.7689733835490493,0.0063822011371372075,0.04847024549365437,0.0,0.0,0.6
2021-01-01 00:45:00+00:00,0.7839145168885211,0.013344814141715724,0.0692899271498401,0.0,0.0,0.6
2021-01-01 01:00:00+00:00,0.7855881178632345,0.022513969738486093,0.08881686932479854,0.0,0.0,0.6
2021-01-01 01:15:00+00:00,0.8136162179228497,0.03360850832940877,0.10691944216385103,0.0,0.0,0.6
2021-01-01 01:30:00+00:00,0.8514487629840878,0.0463445129747019,0.12358355349590654,0.0,0.0,0.6
2021-01-01 01:45:00+00:00,0.8276653030777317,0.06045578821642955,0.1388765122729266,0.0,0.0,0.6
2021-01-01 02:00:00+00:00,0.8033320612086677,0.07570458021641122,0.15291275638781543,0.0,0.0,0.6
2021-01-01 02:15:00+00:00,0.7625673456796546,0.09188500631638537,0.16582762992912628,0.0,0.0,0.6
2021-01-01 02:30:00+00:00,0.7280442724331478,0.10882202304676772,0.17776008805180565,0.0,0.0,0.6
2021-01-01 02:45:00+00:00,0.7233549556924046,0.12636816424649064,0.188842696297436,0.0,0.0,0.6
2021-01-01 03:00:00+00:00,0.7159086441092588,0.14439949104137445,0.19919671034172104,0.0,0.0,0.6
2021-01-01 03:15:00+00:00,0.7200993840700954,0.162811553277009,0.20893032681546816,0.0,0.0,0.6
2021-01-01 03:30:00+00:00,0.7110899669067019,0.1815157377149106,0.2181387335217954,0.0,0.0,0.6
2021-01-01 03:45:00+00:00,0.7538974997285217,0.2004361330518281,0.22690507309402347,0.0,0.0,0.6
2021-01-01 04:00:00+00:00,0.7888706395817549,0.21950691570994027,0.23530179005729324,0.0,0.0,0.6
2021-01-01 04:15:00+00:00,0.7972116943591114,0.2386702044304369,0.24339206525633336,0.0,0.0,0.6
2021-01-01 04:30:00+00:00,0.8092125722019448,0.2578743135520219,0.2512311850698946,0.0,0.0,0.6
2021-01-01 04:45:00+00:00,0.7730185929903456,0.27707233535349296,0.2588677761543407,0.0,0.0,0.6
2021-01-01 05:00:00+00:00,0.7427266848489924,0.29622099069235536,0.2663448823818012,0.0,0.0,0.6
2021-01-01 05:15:00+00:00,0.7273893850952164,0.3152796994945467,0.2737008843306026,0.0,0.0,0.6
2021-01-01 05:30:00+00:00,0.7595570199328671,0.33420983701434465,0.2809702726721084,0.0,0.0,0.6
2021-01-01 05:45:00+00:00,0.7971874392725213,0.3529741596463481,0.28818429078748875,0.0,0.0,0.6
2021-01-01 06:00:00+00:00,0.8051296326259527,0.3715364112823161,0.295371462250466,0.0,0.0,0.6
2021-01-01 06:15:00+00:00,0.8552352515017569,0.38986117446804935,0.3025580173281129,0.0,0.0,0.6
2021-01-01 06:30:00+00:00,0.955551594628589,0.40791416048695295,0.3097682304228515,0.00046253469010175765,0.0,0.6
2021-01-01 06:45:00+00:00,0.9321211809825991,0.4256635148148342,0.317024677953508,0.0009250693802035153,0.0,0.6
2021-01-01 07:00:00+00:00,0.832796601396338,0.4430840893677959,0.3243484238654705,0.0009250693802035153,0.0,0.6
2021-01-01 07:15:00+00:00,0.8463498047809347,0.46017310032467545,0.33175913793297557,0.0009250693802035153,0.003071973579318984,0.6
2021-01-01 07:30:00+00:00,0.8215880563821132,0.4770329417092637,0.33927515035921063,0.0013876040703052729,0.006143947158637968,0.6
2021-01-01 07:45:00+00:00,0.8266385044120862,0.4951318862545284,0.3469134449905322,0.0018501387604070306,0.009215920737956951,0.6
2021-01-01 08:00:00+00:00,0.821399405708635,0.510339820336019,0.3546895928289934,0.0037002775208140612,0.012287894317275935,0.6
2021-01-01 08:15:00+00:00,0.8665560885835284,0.524281653987785,0.3626176275429039,0.0074005550416281225,0.027169456781687737,0.6
2021-01-01 08:30:00+00:00,0.9310600219825479,0.5380638076041732,0.3707098654689178,0.011100832562442183,0.04205101924609953,0.6
2021-01-01 08:45:00+00:00,0.9063814398144838,0.5513897530263973,0.37897667428639137,0.016651248843663275,0.056932581710511326,0.6
2021-01-01 09:00:00+00:00,0.9090290519026607,0.5640793702273013,0.3874261971983819,0.01757631822386679,0.07181414417492313,0.6
2021-01-01 09:15:00+00:00,0.9311289606151794,0.5760414046413461,0.39606404310361953,0.020351526364477335,0.09039118551417834,0.6
2021-01-01 09:30:00+00:00,0.9097931365290667,0.5872008527613167,0.4048929577820678,0.024514338575393153,0.10896822685343355,0.6
2021-01-01 09:45:00+00:00,0.9185691722772288,0.597492624067658,0.4139124962374618,0.028677150786308975,0.12754526819268877,0.6
2021-01-01 10:00:00+00:00,0.9364419124568086,0.6068574611031,0.4231187215299212,0.02543940795559667,0.14612230953194397,0.6
2021-01-01 10:15:00+00:00,0.866021980778035,0.6152404902806241,0.4325039599069694,0.028677150786308975,0.1586863682951828,0.6
2021-01-01 10:30:00+00:00,0.8525441099644187,0.6225910260690967,0.44205664478536866,0.028214616096207217,0.17125042705842158,0.6
2021-01-01 10:45:00+00:00,0.8229494632829544,0.628862990830273,0.45176128206124666,0.028677150786308975,0.1838144858216604,0.6
2021-01-01 11:00:00+00:00,0.8348453075634926,0.634015634305115,0.4615985653442191,0.032377428307123035,0.1963785445848992,0.6
2021-01-01 11:15:00+00:00,0.8277861225858919,0.6380143717656769,0.4715456614203305,0.030527289546716005,0.20076301104657782,0.6
2021-01-01 11:30:00+00:00,0.9591058975556372,0.6408316184093136,0.4815766736682339,0.030527289546716005,0.20514747750825643,0.6
2021-01-01 11:45:00+00:00,0.9572181990326323,0.6424475268010708,0.49166327528850007,0.03145235892691952,0.2095319439699351,0.6
2021-01-01 12:00:00+00:00,0.9373317727559558,0.6428505542463167,0.5017754869594254,0.03746530989824237,0.21391641043161372,0.6
2021-01-01 12:15:00+00:00,0.8894400145153252,0.6420378063901659,0.511882557485947,0.03145235892691952,0.2097141555631477,0.6
2021-01-01 12:30:00+00:00,0.8805077573805703,0.6400151250062466,0.5219538938726366,0.03283996299722479,0.2055119006946817,0.6
2021-01-01 12:45:00+00:00,0.8110732560389088,0.6367969118245848,0.5319599812294179,0.03330249768732655,0.2013096458262157,0.6
2021-01-01 13:00:00+00:00,0.7592848239611342,0.6324057047805669,0.5418732341678747,0.03654024051803885,0.1971073909577497,0.6
2021-01-01 13:15:00+00:00,0.7883442143690967,0.6268715463179798,0.5516687296241853,0.016651248843663275,0.18535474319553583,0.6
2021-01-01 13:30:00+00:00,0.7632689465176853,0.6202312041888303,0.561324784785412,0.018501387604070305,0.17360209543332195,0.6
2021-01-01 13:45:00+00:00,0.7589434560757927,0.6125273242937601,0.5708233605553034,0.013876040703052728,0.16184944767110807,0.6
2021-01-01 14:00:00+00:00,0.7784912591942935,0.603807616900722,0.58015028804073,0.018038852913968548,0.1500967999088942,0.6
2021-01-01 14:15:00+00:00,0.777435713759356,0.5941242135571929,0.5892953304671291,0.02127659574468085,0.1323055460653684,0.6
2021-01-01 14:30:00+00:00,0.7587467203734513,0.5835334089400549,0.5982521041283032,0.017113783533765033,0.11451429222184262,0.6
2021-01-01 14:45:00+00:00,0.8131643546430425,0.5720961826644292,0.6070178887518124,0.012950971322849213,0.09672303837831682,0.6
2021-01-01 15:00:00+00:00,0.8636769199716352,0.5598803253365379,0.6155933601664427,0.00971322849213691,0.07893178453479102,0.6
2021-01-01 15:15:00+00:00,0.8418185952712969,0.5469659525262746,0.623982277159384,0.009250693802035153,0.06256405876323881,0.6
2021-01-01 15:30:00+00:00,0.8489720491422814,0.5334614945047417,0.6321911509615614,0.0074005550416281225,0.046196332991686594,0.6
2021-01-01 15:45:00+00:00,0.8312047490467984,0.5195781307420865,0.6402289209811497,0.004625346901017576,0.029828607220134383,0.6
2021-01-01 16:00:00+00:00,0.7978396316008317,0.505725012961167,0.648106655162858,0.0027752081406105457,0.013460881448582165,0.6
2021-01-01 16:15:00+00:00,0.8166130686215316,0.4884804688287502,0.6558372883802727,0.0018501387604070306,0.010095661086436624,0.6
2021-01-01 16:30:00+00:00,0.8643309089730262,0.4713632779217084,0.6634354080086764,0.0009250693802035153,0.006730440724291083,0.6
2021-01-01 16:45:00+00:00,0.8643039588768151,0.45445706021862387,0.6709170925057724,0.0009250693802035153,0.0033652203621455413,0.6
2021-01-01 17:00:00+00:00,0.8641287832514425,0.43726096397888686,0.6782998065057888,0.0009250693802035153,0.0,0.6
2021-01-01 17:15:00+00:00,0.8737903927431464,0.41972985094929827,0.6856023545586739,0.0009250693802035153,0.0,0.6
2021-01-01 17:30:00+00:00,0.8542893031247449,0.40187749678601176,0.6928448951248993,0.0,0.0,0.6
2021-01-01 17:45:00+00:00,0.9059499425519335,0.38373220284604653,0.7000490166481704,0.0,0.0,0.6
2021-01-01 18:00:00+00:00,0.9607933883416612,0.3653269532054139,0.7072378783555073,0.0,0.0,0.6
2021-01-01 18:15:00+00:00,0.9592302827614135,0.3466965511754055,0.7144364197808457,0.0,0.0,0.6
2021-01-01 18:30:00+00:00,0.9425266131297313,0.32787676901917345,0.7216716447859742,0.0,0.0,0.6
2021-01-01 18:45:00+00:00,0.9277983855503278,0.30890424364985375,0.7289729879689598,0.0,0.0,0.6
2021-01-01 19:00:00+00:00,0.9361367453180631,0.28981672242860823,0.7363727736873705,0.0,0.0,0.6
2021-01-01 19:15:00+00:00,0.950525401685206,0.2706535235063127,0.7439067802763287,0.0,0.0,0.6
2021-01-01 19:30:00+00:00,0.9300594986224447,0.25145616927607467,0.751614924028306,0.0,0.0,0.6
2021-01-01 19:45:00+00:00,0.9442190791717927,0.23226919284441735,0.7595420784184882,0.0,0.0,0.6
2021-01-01 20:00:00+00:00,0.9073109224105975,0.21314114034328208,0.7677390426121218,0.0,0.0,0.6
2021-01-01 20:15:00+00:00,0.890480587326723,0.19412580814853206,0.7762636671629356,0.0,0.0,0.6
2021-01-01 20:30:00+00:00,0.8668507429687706,0.1752837675885682,0.7851821299750233,0.0,0.0,0.6
2021-01-01 20:45:00+00:00,0.8513140125030321,0.15668424091771077,0.7945703252176654,0.0,0.0,0.6
2021-01-01 21:00:00+00:00,0.8166777488524384,0.13840739870388166,0.8045152707457791,0.0,0.0,0.6
2021-01-01 21:15:00+00:00,0.7946433501901872,0.1205471437997097,0.8151163381943968,0.0,0.0,0.6
2021-01-01 21:30:00+00:00,0.7905307655083628,0.10321441780378957,0.8264859390226831,0.0,0.0,0.6
2021-01-01 21:45:00+00:00,0.8126702695458377,0.08654098924754967,0.8387490279545874,0.0,0.0,0.6
2021-01-01 22:00:00+00:00,0.8392215043330807,0.07068352088430534,0.8520403862874061,0.0,0.0,0.6
2021-01-01 22:15:00+00:00,0.8403156782392541,0.05582741291674683,0.866498135449148,0.0,0.0,0.6
2021-01-01 22:30:00+00:00,0.8392376743908074,0.04218942300120329,0.8822514406294043,0.0,0.0,0.6
2021-01-01 22:45:00+00:00,0.8088703059800628,0.03001736017063142,0.8994002898618664,0.0,0.0,0.6
2021-01-01 23:00:00+00:00,0.7724310808929422,0.019584383509246045,0.9179863700501847,0.0,0.0,0.6
2021-01-01 23:15:00+00:00,0.7508278837700696,0.011175083432486212,0.9379574795141864,0.0,0.0,0.6
2021-01-01 23:30:00+00:00,0.7446724817954388,0.005061477979248098,0.9591340477264281,0.0,0.0,0.6
2021-01-01 23:45:00+00:00,0.7341754193211887,0.0014702406946884262,0.9811930158893315,0.0,0.0,0.6
2021-01-02 00:00:00+00:00,0.7295373077632467,0.0005476285732959747,0.0034605182658312924,0.0,0.0,0.6
2021-01-02 00:15:00+00:00,0.7278017215672473,0.002332972207436341,0.025869140914902368,0.0,0.0,0.6
2021-01-02 00:30:00+00:00,0.7278664017981541,0.006751021374339699,0.04769006844601014,0.0,0.0,0.6
2021-01-02 00:45:00+00:00,0.7138739118453156,0.013626407161949882,0.06851015446164761,0.0,0.0,0.6
2021-01-02 01:00:00+00:00,0.7181886222487236,0.022714163333142915,0.08805207609283379,0.0,0.0,0.6
2021-01-02 01:15:00+00:00,0.7596486502599851,0.033735094929994956,0.10617983067388317,0.0,0.0,0.6
2021-01-02 01:30:00+00:00,0.7902262294211766,0.04640618866609938,0.12287515434661568,0.0,0.0,0.6
2021-01-02 01:45:00+00:00,0.7840789124754092,0.06046134142487752,0.13820199302772423,0.0,0.0,0.6
2021-01-02 02:00:00+00:00,0.7791416548495231,0.07566237300736794,0.15227238565588108,0.0,0.0,0.6
2021-01-02 02:15:00+00:00,0.7584332009208613,0.09180270202414385,0.16522013505482488,0.0,0.0,0.6
2021-01-02 02:30:00+00:00,0.7352830682754677,0.108706486284358,0.17718331106491889,0.0,0.0,0.6
2021-01-02 02:45:00+00:00,0.728391928674272,0.12622546594709746,0.1882940486923576,0.0,0.0,0.6
2021-01-02 03:00:00+00:00,0.7185551435571955,0.14423496922822734,0.19867346561711804,0.0,0.0,0.6
2021-01-02 03:15:00+00:00,0.7117367692157699,0.1626298978956781,0.20842979604163836,0.0,0.0,0.6
2021-01-02 03:30:00+00:00,0.7207003712156046,0.1813210811365635,0.21765836239452793,0.0,0.0,0.6
2021-01-02 03:45:00+00:00,0.7129010133720924,0.20023213660123274,0.2264424890152699,0.0,0.0,0.6
2021-01-02 04:00:00+00:00,0.7211100126780142,0.21929684784658096,0.2348548188759854,0.0,0.0,0.6
2021-01-02 04:15:00+00:00,0.7648958339922994,0.23845700916697038,0.2429587305323595,0.0,0.0,0.6
2021-01-02 04:30:00+00:00,0.7954653281246278,0.2576606692237923,0.2508096979954096,0.0,0.0,0.6
2021-01-02 04:45:00+00:00,0.7796186715524608,0.27686070455351736,0.25845652112665785,0.0,0.0,0.6
2021-01-02 05:00:00+00:00,0.7478660681964623,0.29601366242795907,0.2659424012068458,0.0,0.0,0.6
2021-01-02 05:15:00+00:00,0.7499708707105545,0.3150788246221807,0.27330586077505614,0.0,0.0,0.6
