time,NP,sun_altitude,sun_azimuth,irradiance_real,irradiance_fc,pv_size
2021-01-01 00:00:00+00:00,11.304299999999998,-64.90750032637234,1.539417854857902,0.0,0.0,0.2
2021-01-01 00:15:00+00:00,12.7929,-64.66361568898365,9.617978057418838,0.0,0.0,0.2
2021-01-01 00:30:00+00:00,12.399,-64.07699062847936,17.478089538073846,0.0,0.0,0.2
2021-01-01 00:45:00+00:00,14.0622,-63.170952492305545,24.971488878069977,0.0,0.0,0.2
2021-01-01 01:00:00+00:00,14.2485,-61.97777909006093,31.999606695736134,0.0,0.0,0.2
2021-01-01 01:15:00+00:00,17.3685,-60.53405744992123,38.51506690326937,0.0,0.0,0.2
2021-01-01 01:30:00+00:00,21.5799,-58.87673341029208,44.512797460314005,0.0,0.0,0.2
2021-01-01 01:45:00+00:00,18.9324,-57.0404467301846,50.01702413864376,0.0,0.0,0.2
2021-01-01 02:00:00+00:00,16.2237,-55.05613608797593,55.068935312092606,0.0,0.0,0.2
2021-01-01 02:15:00+00:00,11.685900000000002,-52.95059279604249,59.71724389186568,0.0,0.0,0.2
2021-01-01 02:30:00+00:00,7.842900000000001,-50.74659509278807,64.01196248063195,0.0,0.0,0.2
2021-01-01 02:45:00+00:00,7.3209,-48.46333260797301,68.00080393770429,0.0,0.0,0.2
2021-01-01 03:00:00+00:00,6.492,-46.11693338813492,71.72741048659475,0.0,0.0,0.2
2021-01-01 03:15:00+00:00,6.9585,-43.72098943144498,75.23072415222333,0.0,0.0,0.2
2021-01-01 03:30:00+00:00,5.9556,-41.28703189343104,78.54500483504575,0.0,0.0,0.2
2021-01-01 03:45:00+00:00,10.720799999999995,-38.82493903900127,81.70017714985386,0.0,0.0,0.2
2021-01-01 04:00:00+00:00,14.6139,-36.34327642705234,84.72231525886792,0.0,0.0,0.2
2021-01-01 04:15:00+00:00,15.542400000000002,-33.84957609014404,87.6341591495675,0.0,0.0,0.2
2021-01-01 04:30:00+00:00,16.8783,-31.350563833688348,90.45560744100368,0.0,0.0,0.2
2021-01-01 04:45:00+00:00,12.8493,-28.8523437143465,93.20416179149764,0.0,0.0,0.2
2021-01-01 05:00:00+00:00,9.4773,-26.3605476053212,95.89531450916115,0.0,0.0,0.2
2021-01-01 05:15:00+00:00,7.77,-23.88045615263499,98.54287949398798,0.0,0.0,0.2
2021-01-01 05:30:00+00:00,11.3508,-21.417095557313488,101.1592705944845,0.0,0.0,0.2
2021-01-01 05:45:00+00:00,15.5397,-18.975312293920148,103.75573289766533,0.0,0.0,0.2
